"Date (TU)","Date de la mesure du min/max (TU)","Valeur (en m)","Statut","Qualification","Méthode","Continuité"
2016-07-06T00:00:00.000Z,2016-07-06T19:50:00.000Z,"43.61","4",16,0,0
2016-07-07T00:00:00.000Z,2016-07-07T17:50:00.000Z,"43.55","4",16,0,0
2016-07-08T00:00:00.000Z,2016-07-08T03:50:00.000Z,"43.52","4",16,0,0
2016-07-09T00:00:00.000Z,2016-07-09T18:20:00.000Z,"43.49","4",16,0,0
2016-07-10T00:00:00.000Z,2016-07-10T19:50:00.000Z,"43.41","4",16,0,0
2016-07-11T00:00:00.000Z,2016-07-11T18:50:00.000Z,"43.31","4",16,0,0
2016-07-12T00:00:00.000Z,2016-07-12T18:20:00.000Z,"43.20","4",16,0,0
2016-07-13T00:00:00.000Z,2016-07-13T20:05:00.000Z,"36.56","4",16,0,0
2016-07-14T00:00:00.000Z,2016-07-14T18:50:00.000Z,"42.98","4",16,0,0
2016-07-15T00:00:00.000Z,2016-07-15T23:50:00.000Z,"42.84","4",16,0,0
2016-07-16T00:00:00.000Z,2016-07-16T18:20:00.000Z,"42.70","4",16,0,0
2016-07-17T00:00:00.000Z,2016-07-17T21:20:00.000Z,"42.54","4",16,0,0
2016-07-18T00:00:00.000Z,2016-07-18T22:20:00.000Z,"42.32","4",16,0,0
2016-07-19T00:00:00.000Z,2016-07-19T23:50:00.000Z,"32.44","4",16,0,0
2016-07-20T00:00:00.000Z,2016-07-20T17:50:00.000Z,"32.20","4",16,0,0
2016-07-21T00:00:00.000Z,2016-07-21T11:50:00.000Z,"31.96","4",16,0,0
2016-07-22T00:00:00.000Z,2016-07-22T11:50:00.000Z,"31.90","4",16,0,0
2016-07-23T00:00:00.000Z,2016-07-23T03:20:00.000Z,"41.54","4",16,0,0
2016-07-24T00:00:00.000Z,2016-07-24T22:50:00.000Z,"41.50","4",16,0,0
2016-07-25T00:00:00.000Z,2016-07-25T23:35:00.000Z,"41.29","4",16,0,0
